date,close,ema200,fg_value,slope_pct,regime
2024-07-06,82826000.0,81961578.0,26.0,1.4707,SIDEWAYS
2024-07-07,79397000.0,81936060.0,29.0,1.2792,SIDEWAYS
2024-07-08,80534000.0,81922109.0,28.0,1.1283,SIDEWAYS
2024-07-09,82043000.0,81923312.0,27.0,0.9989,SIDEWAYS
2024-07-10,81896000.0,81923040.0,28.0,0.8666,SIDEWAYS
2024-07-11,81070000.0,81914552.0,29.0,0.744,SIDEWAYS
2024-07-12,81540000.0,81910825.0,25.0,0.6216,SIDEWAYS
2024-07-13,82901000.0,81920678.0,25.0,0.5398,SIDEWAYS
2024-07-14,85430000.0,81955596.0,33.0,0.5334,SIDEWAYS
2024-07-15,91162000.0,82047202.0,52.0,0.5729,BULL
2024-07-16,90807000.0,82134364.0,65.0,0.6252,BULL
2024-07-17,89467000.0,82207326.0,69.0,0.6501,BULL
2024-07-18,89850000.0,82283373.0,61.0,0.7005,BULL
2024-07-19,93004000.0,82390045.0,60.0,0.7812,BULL
2024-07-20,94065000.0,82506214.0,74.0,0.8476,BULL
2024-07-21,95000000.0,82630530.0,74.0,0.9205,BULL
2024-07-22,94357000.0,82747212.0,70.0,0.9971,BULL
2024-07-23,92230000.0,82841568.0,71.0,1.0705,BULL
2024-07-24,91501000.0,82927731.0,69.0,1.1792,BULL
2024-07-25,92465000.0,83022629.0,68.0,1.3053,BULL
2024-07-26,94727000.0,83139091.0,68.0,1.4367,BULL
2024-07-27,94292000.0,83250065.0,72.0,1.6037,BULL
2024-07-28,95363000.0,83370592.0,71.0,1.7681,BULL
2024-07-29,93618000.0,83472556.0,74.0,1.8911,BULL
2024-07-30,92788000.0,83565247.0,67.0,2.0046,BULL
2024-07-31,90345000.0,83632707.0,61.0,2.0975,BULL
2024-08-01,91789000.0,83713864.0,52.0,2.2012,BULL
2024-08-02,86691000.0,83743488.0,57.0,2.2251,SIDEWAYS
2024-08-03,85957000.0,83765513.0,37.0,2.2084,SIDEWAYS
2024-08-04,81871000.0,83746662.0,34.0,2.0713,SIDEWAYS
2024-08-05,77833000.0,83687819.0,26.0,1.8914,SIDEWAYS
2024-08-06,80224000.0,83653354.0,17.0,1.759,CRISIS
2024-08-07,78388000.0,83600962.0,29.0,1.6013,SIDEWAYS
2024-08-08,86397000.0,83628783.0,20.0,1.5035,SIDEWAYS
2024-08-09,85518000.0,83647581.0,48.0,1.3834,SIDEWAYS
2024-08-10,85669000.0,83667695.0,40.0,1.2552,SIDEWAYS
2024-08-11,82815000.0,83659211.0,39.0,1.1022,SIDEWAYS
2024-08-12,83221000.0,83654850.0,25.0,0.9817,SIDEWAYS
2024-08-13,84600000.0,83664255.0,31.0,0.8882,SIDEWAYS
2024-08-14,82457000.0,83652242.0,30.0,0.7584,SIDEWAYS
2024-08-15,81004000.0,83625892.0,29.0,0.5855,SIDEWAYS
2024-08-16,82209000.0,83611793.0,27.0,0.4345,SIDEWAYS
2024-08-17,82849000.0,83604203.0,25.0,0.2802,SIDEWAYS
2024-08-18,81500000.0,83583266.0,31.0,0.1326,SIDEWAYS
2024-08-19,81680000.0,83564328.0,28.0,-0.0011,SIDEWAYS
2024-08-20,80751000.0,83536334.0,30.0,-0.1152,SIDEWAYS
2024-08-21,82900000.0,83530003.0,26.0,-0.2196,SIDEWAYS
2024-08-22,82003000.0,83514809.0,39.0,-0.2731,SIDEWAYS
2024-08-23,85600000.0,83535557.0,34.0,-0.2745,SIDEWAYS
2024-08-24,85767000.0,83557760.0,56.0,-0.2256,SIDEWAYS
2024-08-25,86254000.0,83584589.0,54.0,-0.1234,SIDEWAYS
2024-08-26,84408000.0,83592782.0,55.0,-0.0724,SIDEWAYS
2024-08-27,80950000.0,83566485.0,48.0,-0.0412,SIDEWAYS
2024-08-28,80569000.0,83536660.0,30.0,-0.1102,SIDEWAYS
2024-08-29,80790000.0,83509330.0,29.0,-0.1653,SIDEWAYS
2024-08-30,80439000.0,83478779.0,34.0,-0.2258,SIDEWAYS
2024-08-31,80262000.0,83446771.0,29.0,-0.2539,SIDEWAYS
2024-09-01,78301000.0,83395570.0,26.0,-0.3099,BEAR
2024-09-02,80205000.0,83363823.0,26.0,-0.3591,SIDEWAYS
2024-09-03,78272000.0,83313158.0,26.0,-0.4053,BEAR
2024-09-04,78739000.0,83267644.0,27.0,-0.4284,BEAR
2024-09-05,76330000.0,83198613.0,29.0,-0.4942,BEAR
2024-09-06,73644000.0,83103542.0,22.0,-0.5988,BEAR
2024-09-07,73640000.0,83009377.0,23.0,-0.6866,BEAR
2024-09-08,74437000.0,82924080.0,29.0,-0.7662,BEAR
2024-09-09,77275000.0,82867870.0,26.0,-0.8002,BEAR
2024-09-10,78089000.0,82820319.0,33.0,-0.8496,BEAR
2024-09-11,77301000.0,82765401.0,37.0,-0.8973,BEAR
2024-09-12,78269000.0,82720660.0,31.0,-0.9755,BEAR
2024-09-13,80930000.0,82702843.0,32.0,-1.0231,SIDEWAYS
2024-09-14,80524000.0,82681163.0,50.0,-1.0809,SIDEWAYS
2024-09-15,79690000.0,82651400.0,51.0,-1.1262,SIDEWAYS
2024-09-16,78469000.0,82609784.0,39.0,-1.1448,BEAR
2024-09-17,81116000.0,82594921.0,33.0,-1.1273,SIDEWAYS
2024-09-18,82604000.0,82595011.0,45.0,-1.0949,SIDEWAYS
2024-09-19,83892000.0,82607916.0,49.0,-1.0432,SIDEWAYS
2024-09-20,84385000.0,82625599.0,54.0,-0.9841,SIDEWAYS
2024-09-21,84425000.0,82643503.0,54.0,-0.9018,SIDEWAYS
2024-09-22,84829000.0,82665249.0,52.0,-0.838,SIDEWAYS
2024-09-23,84631000.0,82684809.0,50.0,-0.7542,SIDEWAYS
2024-09-24,85248000.0,82710313.0,54.0,-0.6693,SIDEWAYS
2024-09-25,84362000.0,82726748.0,59.0,-0.5672,SIDEWAYS
2024-09-26,86000000.0,82759318.0,50.0,-0.4142,SIDEWAYS
2024-09-27,86958000.0,82801096.0,61.0,-0.2509,SIDEWAYS
2024-09-28,86732000.0,82840209.0,64.0,-0.1011,SIDEWAYS
2024-09-29,85958000.0,82871232.0,63.0,0.0041,SIDEWAYS
2024-09-30,83730000.0,82879777.0,61.0,0.0718,SIDEWAYS
2024-10-01,81500000.0,82866048.0,50.0,0.1216,SIDEWAYS
2024-10-02,81707000.0,82854515.0,42.0,0.1618,SIDEWAYS
2024-10-03,82424000.0,82850231.0,37.0,0.1782,SIDEWAYS
2024-10-04,83805000.0,82859732.0,41.0,0.216,SIDEWAYS
2024-10-05,83956000.0,82870640.0,49.0,0.2653,SIDEWAYS
2024-10-06,84533000.0,82887181.0,50.0,0.3358,SIDEWAYS
2024-10-07,83942000.0,82897676.0,50.0,0.3666,SIDEWAYS
2024-10-08,84139000.0,82910028.0,49.0,0.3814,SIDEWAYS
2024-10-09,82385000.0,82904804.0,49.0,0.3594,SIDEWAYS
2024-10-10,82131000.0,82897104.0,39.0,0.3286,SIDEWAYS
2024-10-11,84451000.0,82912566.0,32.0,0.3256,SIDEWAYS
2024-10-12,84956000.0,82932898.0,49.0,0.3238,SIDEWAYS
2024-10-13,84806000.0,82951536.0,50.0,0.3226,SIDEWAYS
2024-10-14,88640000.0,83008138.0,48.0,0.3601,BULL
2024-10-15,90600000.0,83083679.0,65.0,0.4315,BULL
2024-10-16,91610000.0,83168518.0,73.0,0.4944,BULL
2024-10-17,91725000.0,83253657.0,71.0,0.5466,BULL
2024-10-18,93330000.0,83353919.0,73.0,0.6201,BULL
2024-10-19,93322000.0,83453104.0,72.0,0.7021,BULL
2024-10-20,93901000.0,83557063.0,73.0,0.8172,BULL
2024-10-21,92161000.0,83642674.0,72.0,0.9372,BULL
2024-10-22,92877000.0,83734558.0,70.0,1.0622,BULL
2024-10-23,92375000.0,83820533.0,71.0,1.1712,BULL
